"","binSent[, 1]","binSent[, 2]","binSent[, 5]","SentimentLM","binSent[, 12]"
"1640",90,"positive","negative","positive","positive"
"1641",41,"positive","positive","positive","positive"
"1642",54,"positive","positive","positive","positive"
"1643",14,"positive","positive","negative","positive"
"1644",22,"positive","positive","positive","positive"
"1645",5,"positive","positive","positive","positive"
"1646",199,"positive","positive","positive","positive"
"1647",40,"positive","positive","positive","positive"
"1648",44,"negative","positive","negative","positive"
"1649",66,"positive","positive","positive","positive"
"1650",26,"positive","positive","positive","positive"
"1651",85,"positive","positive","positive","positive"
"1652",34,"positive","positive","positive","positive"
"1653",37,"positive","positive","positive","positive"
"1654",28,"positive","positive","positive","positive"
"1655",9,"positive","positive","positive","positive"
"1656",55,"positive","positive","positive","positive"
"1657",409,"positive","positive","negative","positive"
"1658",62,"positive","positive","positive","positive"
"1659",44,"positive","positive","positive","positive"
"1660",16,"positive","positive","positive","positive"
"1661",25,"positive","positive","positive","positive"
"1662",22,"positive","positive","positive","positive"
"1663",9,"positive","positive","positive","positive"
"1664",39,"positive","positive","negative","positive"
"1665",114,"positive","positive","positive","positive"
"1666",106,"positive","positive","positive","positive"
"1667",73,"negative","negative","negative","negative"
"1668",132,"positive","positive","negative","negative"
"1669",28,"positive","positive","positive","positive"
"1670",77,"positive","positive","positive","positive"
"1671",58,"positive","positive","positive","positive"
"1672",195,"positive","positive","negative","positive"
"1673",44,"positive","positive","negative","positive"
"1674",28,"positive","positive","positive","positive"
"1675",83,"positive","positive","positive","positive"
"1676",80,"positive","positive","positive","positive"
"1677",29,"positive","positive","positive","positive"
"1678",63,"positive","positive","positive","positive"
"1679",39,"negative","positive","negative","positive"
"1680",73,"positive","negative","negative","positive"
"1681",77,"positive","positive","negative","positive"
"1682",27,"positive","positive","positive","positive"
"1683",11,"positive","positive","positive","positive"
"1684",23,"positive","positive","positive","positive"
"1685",25,"positive","positive","positive","positive"
"1686",155,"positive","positive","positive","positive"
"1687",237,"positive","positive","negative","positive"
"1688",15,"positive","positive","negative","positive"
"1689",6,"positive","positive","positive","positive"
"1690",153,"positive","negative","negative","positive"
"1691",35,"positive","positive","positive","positive"
"1692",94,"positive","positive","positive","positive"
"1693",31,"negative","positive","positive","negative"
"1694",70,"positive","positive","positive","positive"
"1695",167,"negative","positive","negative","positive"
"1696",332,"positive","positive","positive","positive"
"1697",49,"positive","positive","positive","positive"
"1698",14,"positive","positive","positive","positive"
"1699",79,"positive","positive","positive","positive"
"1700",8,"positive","positive","positive","positive"
"1701",35,"positive","positive","positive","positive"
"1702",40,"positive","positive","positive","positive"
"1703",92,"positive","positive","positive","positive"
"1704",45,"negative","positive","positive","positive"
"1705",21,"positive","negative","positive","positive"
"1706",35,"positive","positive","positive","positive"
"1707",68,"positive","positive","negative","positive"
"1708",172,"positive","positive","positive","positive"
"1709",49,"positive","positive","positive","positive"
"1710",8,"positive","positive","positive","positive"
"1711",62,"positive","positive","negative","positive"
"1712",19,"positive","positive","positive","positive"
"1713",54,"positive","negative","negative","positive"
"1714",29,"positive","positive","positive","positive"
"1715",95,"positive","positive","positive","positive"
"1716",65,"positive","positive","positive","positive"
"1717",39,"positive","positive","positive","positive"
"1718",20,"positive","positive","positive","positive"
"1719",88,"positive","negative","positive","positive"
"1720",41,"positive","positive","positive","positive"
"1721",39,"positive","positive","positive","positive"
"1722",22,"negative","positive","positive","positive"
"1723",69,"positive","positive","negative","positive"
"1724",64,"positive","positive","positive","positive"
"1725",119,"positive","positive","positive","positive"
"1726",130,"positive","positive","positive","positive"
"1727",46,"positive","positive","positive","positive"
"1728",56,"positive","negative","positive","positive"
"1729",24,"positive","positive","positive","positive"
"1730",20,"positive","positive","positive","positive"
"1731",67,"positive","positive","negative","positive"
"1732",18,"positive","positive","positive","positive"
"1733",32,"negative","positive","positive","positive"
"1734",7,"positive","positive","positive","positive"
"1735",216,"positive","positive","negative","positive"
"1736",65,"positive","positive","positive","positive"
"1737",20,"positive","positive","negative","positive"
"1738",105,"negative","positive","positive","positive"
"1739",44,"positive","positive","positive","positive"
"1740",34,"positive","positive","positive","positive"
"1741",16,"positive","positive","positive","positive"
"1742",203,"positive","positive","positive","positive"
"1743",62,"positive","positive","positive","positive"
"1744",56,"positive","positive","positive","positive"
"1745",64,"positive","positive","positive","positive"
"1746",84,"positive","positive","positive","positive"
"1747",6,"positive","positive","positive","positive"
"1748",38,"negative","positive","negative","negative"
"1749",7,"positive","positive","positive","positive"
"1750",56,"positive","positive","positive","positive"
"1751",30,"positive","positive","positive","positive"
"1752",37,"positive","positive","positive","positive"
"1753",136,"positive","positive","negative","positive"
"1754",21,"positive","positive","negative","positive"
"1755",44,"positive","positive","negative","positive"
"1756",21,"positive","positive","positive","positive"
"1757",21,"positive","positive","positive","positive"
"1758",58,"positive","positive","positive","positive"
"1759",43,"positive","positive","positive","positive"
"1760",38,"positive","positive","positive","positive"
"1761",189,"positive","positive","positive","positive"
"1762",114,"positive","positive","positive","positive"
"1763",68,"positive","positive","positive","positive"
"1764",13,"positive","positive","positive","positive"
"1765",161,"positive","positive","negative","positive"
"1766",36,"positive","positive","positive","positive"
"1767",122,"positive","positive","positive","positive"
"1768",66,"positive","positive","negative","positive"
"1769",17,"positive","positive","negative","positive"
"1770",151,"positive","positive","positive","positive"
"1771",27,"positive","positive","positive","positive"
"1772",5,"positive","positive","positive","positive"
"1773",34,"positive","positive","positive","positive"
"1774",26,"negative","positive","positive","positive"
"1775",446,"positive","positive","positive","positive"
"1776",52,"positive","positive","positive","positive"
"1777",41,"positive","positive","positive","positive"
"1778",29,"positive","positive","positive","positive"
"1779",96,"positive","negative","negative","negative"
"1780",7,"positive","positive","positive","positive"
"1781",34,"positive","positive","positive","positive"
"1782",12,"positive","positive","positive","positive"
"1783",65,"positive","positive","positive","positive"
"1784",54,"positive","positive","positive","positive"
"1785",32,"positive","positive","positive","positive"
"1786",51,"positive","positive","positive","positive"
"1787",59,"positive","positive","negative","positive"
"1788",41,"positive","negative","positive","positive"
"1789",13,"negative","positive","negative","negative"
"1790",166,"positive","positive","positive","positive"
"1791",127,"positive","positive","positive","positive"
"1792",132,"positive","positive","positive","positive"
"1793",65,"positive","positive","positive","positive"
"1794",14,"positive","positive","positive","positive"
"1795",15,"positive","positive","positive","positive"
"1796",55,"positive","positive","positive","positive"
"1797",30,"positive","positive","positive","positive"
"1798",34,"positive","positive","negative","positive"
"1799",112,"positive","positive","positive","positive"
"1800",202,"positive","positive","negative","positive"
"1801",63,"positive","positive","positive","positive"
"1802",16,"positive","positive","positive","positive"
"1803",106,"positive","negative","negative","positive"
"1804",49,"positive","positive","positive","positive"
"1805",47,"positive","positive","positive","positive"
"1806",20,"positive","positive","positive","positive"
"1807",143,"positive","negative","negative","positive"
"1808",89,"positive","positive","positive","positive"
"1809",48,"positive","positive","negative","positive"
"1810",64,"positive","positive","negative","positive"
"1811",28,"positive","positive","positive","positive"
"1812",19,"positive","positive","positive","positive"
"1813",107,"positive","positive","positive","positive"
"1814",27,"positive","positive","positive","positive"
"1815",52,"negative","positive","negative","positive"
"1816",90,"positive","positive","positive","positive"
"1817",123,"positive","positive","negative","positive"
"1818",44,"positive","positive","positive","positive"
"1819",163,"positive","positive","positive","positive"
"1820",175,"positive","positive","positive","positive"
"1821",46,"positive","positive","positive","positive"
"1822",16,"positive","positive","positive","positive"
"1823",162,"positive","positive","positive","positive"
"1824",55,"positive","positive","positive","positive"
"1825",42,"negative","negative","negative","positive"
"1826",91,"positive","positive","positive","positive"
"1827",115,"positive","positive","positive","positive"
"1828",26,"positive","positive","positive","positive"
"1829",32,"negative","positive","negative","positive"
"1830",279,"positive","positive","negative","positive"
"1831",47,"positive","positive","negative","positive"
"1832",121,"positive","positive","negative","positive"
"1833",166,"positive","positive","positive","positive"
"1834",9,"positive","positive","positive","positive"
"1835",31,"positive","positive","positive","positive"
"1836",31,"positive","negative","positive","positive"
"1837",48,"positive","positive","positive","positive"
"1838",22,"positive","positive","positive","positive"
"1839",9,"positive","positive","positive","positive"
"1840",7,"positive","positive","positive","positive"
"1841",61,"positive","negative","negative","positive"
"1842",63,"positive","positive","positive","positive"
"1843",73,"negative","positive","positive","positive"
"1844",34,"positive","positive","positive","positive"
"1845",72,"positive","positive","positive","positive"
"1846",162,"positive","positive","negative","positive"
"1847",87,"positive","positive","positive","positive"
"1848",61,"positive","positive","positive","positive"
"1849",68,"positive","positive","positive","positive"
"1850",7,"positive","positive","positive","positive"
"1851",26,"positive","positive","positive","positive"
"1852",37,"positive","positive","positive","positive"
"1853",27,"positive","positive","positive","positive"
"1854",247,"positive","positive","positive","positive"
"1855",51,"positive","positive","positive","positive"
"1856",99,"positive","positive","negative","positive"
"1857",9,"positive","positive","positive","positive"
"1858",25,"negative","positive","negative","negative"
"1859",6,"positive","positive","positive","positive"
"1860",7,"positive","positive","positive","positive"
"1861",29,"positive","positive","positive","positive"
"1862",22,"positive","positive","positive","positive"
"1863",43,"positive","positive","positive","negative"
"1864",75,"positive","positive","negative","positive"
"1865",49,"positive","positive","negative","positive"
"1866",12,"positive","positive","positive","positive"
"1867",76,"positive","positive","negative","positive"
"1868",70,"positive","positive","positive","positive"
"1869",52,"positive","positive","positive","positive"
"1870",49,"positive","positive","positive","positive"
"1871",444,"positive","positive","positive","positive"
"1872",81,"positive","positive","negative","positive"
"1873",68,"positive","positive","positive","positive"
"1874",6,"positive","positive","positive","positive"
"1875",119,"positive","positive","positive","positive"
"1876",64,"positive","negative","positive","positive"
"1877",7,"positive","positive","positive","positive"
"1878",15,"positive","positive","positive","positive"
"1879",60,"positive","positive","positive","positive"
"1880",19,"positive","positive","positive","positive"
"1881",44,"positive","positive","positive","positive"
"1882",57,"positive","positive","negative","positive"
"1883",124,"positive","positive","positive","positive"
"1884",35,"positive","positive","positive","positive"
"1885",173,"positive","positive","positive","positive"
"1886",13,"negative","positive","negative","positive"
"1887",86,"positive","positive","positive","positive"
"1888",36,"positive","positive","positive","positive"
"1889",112,"positive","positive","positive","positive"
"1890",97,"positive","positive","positive","positive"
"1891",39,"positive","positive","positive","positive"
"1892",145,"positive","positive","positive","positive"
"1893",80,"negative","positive","negative","positive"
"1894",31,"positive","positive","positive","positive"
"1895",90,"positive","positive","positive","positive"
"1896",19,"positive","positive","positive","positive"
"1897",20,"positive","positive","positive","positive"
"1898",107,"positive","positive","negative","positive"
"1899",40,"positive","positive","positive","positive"
"1900",183,"positive","positive","positive","positive"
"1901",35,"positive","positive","positive","positive"
"1902",198,"positive","positive","positive","positive"
"1903",161,"positive","positive","positive","positive"
"1904",170,"positive","positive","positive","positive"
"1905",142,"negative","negative","negative","positive"
"1906",104,"positive","positive","negative","positive"
"1907",46,"positive","positive","positive","positive"
"1908",46,"positive","positive","negative","positive"
"1909",40,"positive","positive","positive","positive"
"1910",83,"positive","positive","negative","positive"
"1911",11,"positive","positive","positive","positive"
"1912",80,"positive","positive","positive","positive"
"1913",91,"positive","negative","negative","positive"
"1914",33,"positive","positive","positive","positive"
"1915",42,"positive","positive","positive","positive"
"1916",157,"positive","positive","negative","negative"
"1917",133,"positive","positive","positive","positive"
"1918",193,"positive","positive","positive","positive"
"1919",89,"positive","positive","negative","positive"
"1920",1,"positive","positive","positive","positive"
"1921",38,"positive","positive","positive","positive"
"1922",179,"positive","positive","negative","positive"
"1923",30,"positive","positive","positive","positive"
"1924",14,"positive","positive","negative","positive"
"1925",52,"negative","positive","negative","positive"
"1926",23,"positive","positive","positive","positive"
"1927",10,"positive","positive","positive","positive"
"1928",67,"positive","positive","positive","positive"
"1929",48,"positive","positive","positive","positive"
"1930",170,"positive","positive","positive","positive"
"1931",31,"positive","positive","positive","positive"
"1932",128,"positive","positive","negative","positive"
"1933",33,"positive","positive","positive","positive"
"1934",158,"positive","positive","positive","positive"
"1935",25,"positive","positive","positive","positive"
"1936",45,"positive","positive","positive","positive"
"1937",25,"positive","positive","positive","positive"
"1938",44,"positive","positive","positive","positive"
"1939",15,"positive","positive","positive","positive"
"1940",13,"positive","positive","positive","positive"
"1941",221,"positive","positive","positive","positive"
"1942",93,"positive","positive","positive","positive"
"1943",13,"positive","positive","positive","positive"
"1944",24,"positive","positive","positive","positive"
"1945",78,"positive","positive","positive","positive"
"1946",17,"positive","positive","positive","positive"
"1947",74,"positive","positive","positive","positive"
"1948",42,"positive","positive","positive","positive"
"1949",36,"positive","negative","negative","positive"
"1950",24,"positive","positive","positive","positive"
"1951",44,"positive","positive","positive","positive"
"1952",42,"positive","positive","positive","positive"
"1953",69,"positive","positive","negative","positive"
"1954",35,"negative","negative","negative","positive"
"1955",169,"positive","positive","positive","positive"
"1956",140,"positive","positive","positive","positive"
"1957",36,"positive","positive","positive","positive"
"1958",39,"positive","positive","positive","positive"
"1959",35,"positive","positive","positive","positive"
"1960",38,"positive","positive","positive","positive"
"1961",64,"positive","positive","positive","positive"
"1962",169,"positive","positive","positive","positive"
"1963",226,"positive","negative","negative","positive"
"1964",4,"positive","positive","positive","positive"
"1965",56,"positive","positive","positive","positive"
"1966",17,"positive","positive","positive","positive"
"1967",98,"positive","positive","negative","positive"
"1968",45,"positive","positive","positive","positive"
"1969",121,"positive","positive","positive","positive"
"1970",89,"positive","positive","positive","positive"
"1971",175,"positive","positive","positive","positive"
"1972",49,"positive","positive","positive","positive"
"1973",81,"positive","positive","positive","positive"
"1974",33,"positive","positive","negative","positive"
"1975",35,"positive","negative","positive","positive"
"1976",88,"negative","positive","negative","positive"
"1977",41,"positive","positive","positive","positive"
"1978",10,"positive","positive","negative","positive"
"1979",52,"positive","positive","negative","positive"
"1980",97,"positive","positive","positive","positive"
"1981",56,"positive","positive","positive","positive"
"1982",107,"positive","positive","positive","positive"
"1983",26,"positive","positive","positive","positive"
"1984",51,"positive","positive","positive","positive"
"1985",136,"positive","positive","positive","positive"
"1986",36,"positive","positive","positive","positive"
"1987",96,"positive","positive","positive","positive"
"1988",144,"positive","positive","positive","positive"
"1989",78,"positive","positive","positive","positive"
"1990",33,"positive","positive","positive","positive"
"1991",90,"positive","positive","positive","positive"
"1992",65,"positive","positive","positive","positive"
"1993",53,"positive","positive","positive","positive"
"1994",24,"positive","positive","positive","positive"
"1995",28,"positive","positive","negative","positive"
"1996",28,"positive","positive","positive","positive"
"1997",41,"positive","positive","positive","positive"
"1998",21,"positive","positive","negative","positive"
"1999",37,"positive","positive","positive","positive"
"2000",246,"positive","positive","negative","positive"
"2001",89,"positive","positive","positive","positive"
"2002",31,"positive","positive","positive","positive"
"2003",154,"negative","positive","positive","positive"
"2004",87,"positive","positive","positive","positive"
"2005",72,"negative","negative","negative","positive"
"2006",33,"positive","positive","positive","positive"
"2007",21,"positive","positive","positive","positive"
"2008",20,"positive","positive","positive","positive"
"2009",61,"positive","positive","negative","positive"
"2010",22,"positive","positive","positive","positive"
"2011",60,"negative","positive","positive","positive"
"2012",20,"positive","positive","positive","positive"
"2013",104,"positive","positive","positive","positive"
"2014",62,"positive","positive","positive","positive"
"2015",93,"positive","positive","positive","positive"
"2016",19,"positive","positive","positive","positive"
"2017",2,"positive","positive","positive","positive"
"2018",50,"positive","positive","positive","positive"
"2019",51,"positive","positive","positive","positive"
"2020",42,"positive","positive","positive","positive"
"2021",110,"positive","positive","positive","positive"
"2022",64,"positive","positive","positive","positive"
"2023",48,"positive","positive","negative","positive"
"2024",118,"positive","positive","positive","positive"
"2025",49,"positive","positive","positive","positive"
"2026",44,"positive","positive","positive","positive"
"2027",76,"positive","positive","negative","positive"
"2028",47,"positive","positive","positive","positive"
"2029",9,"positive","positive","positive","positive"
"2030",67,"positive","positive","positive","positive"
"2031",26,"positive","positive","positive","positive"
"2032",81,"positive","positive","positive","positive"
"2033",180,"positive","positive","positive","positive"
"2034",18,"positive","positive","positive","positive"
"2035",80,"positive","positive","positive","positive"
"2036",92,"positive","positive","positive","positive"
"2037",82,"positive","negative","negative","positive"
"2038",58,"positive","positive","positive","positive"
"2039",4,"negative","positive","positive","positive"
"2040",29,"positive","positive","positive","positive"
"2041",54,"positive","positive","positive","positive"
"2042",50,"positive","positive","positive","positive"
"2043",76,"positive","positive","negative","negative"
"2044",49,"positive","positive","negative","positive"
"2045",37,"positive","positive","positive","positive"
"2046",25,"positive","positive","positive","positive"
"2047",134,"negative","positive","negative","positive"
"2048",33,"positive","positive","positive","positive"
"2049",11,"positive","positive","positive","positive"
"2050",127,"positive","positive","positive","positive"
"2051",44,"positive","positive","positive","positive"
"2052",49,"positive","positive","positive","positive"
"2053",35,"positive","negative","negative","positive"
"2054",47,"positive","positive","positive","positive"
"2055",61,"positive","positive","negative","positive"
"2056",25,"positive","positive","negative","positive"
"2057",124,"positive","positive","positive","positive"
"2058",59,"positive","positive","positive","positive"
"2059",13,"positive","positive","positive","positive"
"2060",132,"positive","positive","positive","positive"
"2061",4,"positive","positive","positive","positive"
"2062",13,"negative","negative","negative","positive"
"2063",92,"positive","positive","positive","positive"
"2064",9,"positive","positive","positive","positive"
"2065",11,"positive","positive","positive","positive"
"2066",128,"positive","positive","negative","positive"
"2067",34,"positive","positive","positive","positive"
"2068",34,"positive","positive","positive","positive"
"2069",10,"positive","positive","positive","positive"
"2070",72,"positive","positive","negative","positive"
"2071",98,"positive","positive","positive","positive"
"2072",176,"positive","positive","positive","positive"
"2073",95,"positive","positive","positive","positive"
"2074",21,"positive","positive","positive","positive"
"2075",20,"positive","positive","positive","positive"
"2076",25,"positive","positive","positive","negative"
"2077",66,"positive","positive","positive","positive"
"2078",63,"positive","positive","positive","positive"
"2079",8,"negative","positive","positive","negative"
"2080",28,"positive","positive","positive","positive"
"2081",10,"positive","positive","positive","positive"
"2082",205,"positive","negative","negative","positive"
"2083",46,"positive","positive","positive","positive"
"2084",53,"positive","positive","positive","positive"
"2085",16,"positive","positive","positive","positive"
"2086",20,"positive","positive","positive","positive"
"2087",31,"positive","positive","positive","positive"
"2088",2,"positive","positive","positive","positive"
"2089",51,"positive","positive","positive","positive"
"2090",24,"positive","positive","positive","positive"
"2091",34,"positive","negative","negative","positive"
"2092",4,"positive","positive","positive","positive"
"2093",13,"positive","positive","positive","positive"
"2094",34,"positive","positive","positive","positive"
"2095",30,"positive","positive","positive","positive"
"2096",116,"positive","positive","negative","positive"
"2097",68,"positive","positive","positive","positive"
"2098",24,"positive","positive","positive","positive"
"2099",170,"positive","positive","positive","positive"
"2100",36,"negative","positive","positive","positive"
"2101",21,"negative","positive","negative","negative"
"2102",11,"positive","positive","positive","positive"
"2103",54,"positive","positive","positive","positive"
"2104",95,"positive","positive","positive","positive"
"2105",66,"positive","positive","negative","positive"
"2106",71,"positive","positive","positive","positive"
"2107",153,"positive","positive","negative","positive"
"2108",142,"positive","positive","negative","positive"
"2109",72,"positive","positive","positive","positive"
"2110",79,"positive","positive","positive","positive"
"2111",18,"positive","positive","positive","positive"
"2112",22,"positive","positive","positive","positive"
"2113",84,"positive","positive","negative","positive"
"2114",161,"negative","positive","negative","positive"
"2115",63,"positive","positive","positive","positive"
"2116",74,"positive","positive","positive","positive"
"2117",51,"positive","negative","negative","positive"
"2118",24,"positive","positive","positive","positive"
"2119",37,"positive","positive","positive","positive"
"2120",64,"negative","positive","negative","negative"
"2121",99,"negative","positive","positive","positive"
"2122",28,"positive","positive","positive","positive"
"2123",92,"positive","positive","negative","positive"
"2124",150,"positive","positive","positive","positive"
"2125",29,"positive","positive","positive","positive"
"2126",126,"positive","positive","positive","positive"
"2127",54,"positive","negative","negative","positive"
"2128",79,"positive","positive","positive","positive"
"2129",284,"positive","positive","negative","positive"
"2130",17,"negative","positive","negative","negative"
"2131",144,"positive","positive","positive","positive"
"2132",223,"positive","positive","negative","positive"
"2133",8,"positive","positive","positive","positive"
"2134",10,"positive","positive","positive","positive"
"2135",58,"positive","positive","negative","positive"
"2136",177,"positive","positive","negative","positive"
"2137",43,"positive","positive","positive","positive"
"2138",76,"positive","positive","positive","positive"
"2139",56,"positive","positive","negative","positive"
"2140",21,"positive","positive","positive","positive"
"2141",22,"positive","positive","positive","positive"
"2142",46,"positive","positive","positive","positive"
"2143",53,"positive","positive","negative","positive"
"2144",34,"positive","positive","positive","positive"
"2145",79,"positive","positive","positive","positive"
"2146",69,"positive","positive","negative","positive"
"2147",26,"positive","positive","positive","positive"
"2148",192,"positive","positive","positive","positive"
"2149",206,"positive","positive","positive","positive"
"2150",9,"positive","positive","positive","positive"
"2151",54,"positive","negative","positive","positive"
"2152",58,"positive","positive","positive","positive"
"2153",50,"positive","positive","positive","positive"
"2154",11,"positive","positive","positive","positive"
"2155",31,"negative","positive","negative","negative"
"2156",43,"positive","positive","positive","positive"
"2157",63,"positive","positive","positive","positive"
"2158",66,"positive","positive","negative","positive"
"2159",26,"positive","positive","positive","positive"
"2160",12,"positive","positive","positive","positive"
"2161",29,"positive","positive","positive","positive"
"2162",46,"positive","positive","positive","positive"
"2163",59,"positive","positive","positive","positive"
"2164",35,"positive","positive","positive","positive"
"2165",144,"positive","positive","negative","positive"
"2166",83,"positive","positive","positive","positive"
"2167",51,"positive","positive","positive","positive"
"2168",15,"positive","positive","positive","positive"
"2169",33,"positive","positive","positive","positive"
"2170",110,"positive","positive","positive","positive"
"2171",13,"positive","positive","positive","positive"
"2172",105,"positive","positive","positive","positive"
"2173",57,"positive","positive","positive","positive"
"2174",54,"positive","positive","positive","positive"
"2175",96,"positive","positive","negative","positive"
"2176",91,"positive","positive","positive","positive"
"2177",3,"positive","positive","negative","positive"
"2178",126,"positive","positive","positive","positive"
"2179",121,"positive","positive","positive","positive"
"2180",23,"positive","negative","negative","negative"
"2181",201,"positive","positive","positive","positive"
"2182",12,"positive","positive","positive","positive"
"2183",6,"positive","positive","positive","positive"
"2184",63,"positive","positive","positive","positive"
"2185",161,"positive","negative","negative","positive"
"2186",90,"positive","positive","positive","positive"
"2187",20,"positive","positive","positive","positive"
"2188",11,"positive","positive","positive","positive"
"2189",230,"positive","positive","negative","positive"
"2190",91,"positive","positive","positive","positive"
"2191",59,"positive","positive","positive","positive"
"2192",52,"negative","positive","positive","positive"
"2193",107,"positive","positive","positive","positive"
"2194",78,"positive","positive","positive","positive"
"2195",146,"negative","positive","negative","positive"
"2196",35,"negative","negative","positive","positive"
"2197",36,"negative","positive","positive","positive"
"2198",28,"positive","positive","positive","positive"
"2199",17,"positive","positive","positive","positive"
"2200",35,"positive","positive","positive","positive"
"2201",40,"positive","positive","positive","positive"
"2202",30,"positive","positive","positive","positive"
"2203",93,"positive","negative","positive","positive"
"2204",39,"positive","negative","negative","positive"
"2205",57,"positive","positive","positive","positive"
"2206",88,"positive","negative","negative","positive"
"2207",201,"positive","positive","negative","positive"
"2208",38,"positive","positive","negative","positive"
"2209",39,"positive","positive","positive","positive"
"2210",35,"positive","positive","positive","positive"
"2211",49,"positive","positive","positive","positive"
"2212",155,"positive","positive","negative","positive"
"2213",52,"negative","positive","positive","positive"
"2214",174,"positive","positive","positive","positive"
"2215",48,"positive","positive","positive","positive"
"2216",44,"negative","positive","positive","positive"
"2217",87,"positive","positive","positive","positive"
"2218",6,"positive","positive","positive","positive"
"2219",17,"positive","positive","positive","positive"
"2220",15,"positive","positive","positive","positive"
"2221",15,"positive","positive","positive","positive"
"2222",142,"positive","positive","positive","positive"
"2223",14,"positive","positive","positive","positive"
"2224",3,"positive","positive","positive","positive"
"2225",15,"positive","positive","negative","positive"
"2226",130,"positive","positive","positive","positive"
"2227",36,"positive","positive","positive","positive"
"2228",27,"positive","positive","positive","positive"
"2229",26,"positive","positive","positive","positive"
"2230",7,"negative","positive","positive","negative"
"2231",12,"positive","positive","positive","positive"
"2232",19,"positive","positive","negative","positive"
"2233",136,"positive","positive","negative","positive"
"2234",8,"positive","positive","positive","positive"
"2235",69,"negative","positive","negative","negative"
"2236",50,"positive","positive","positive","positive"
"2237",51,"positive","positive","negative","positive"
"2238",53,"positive","positive","positive","positive"
"2239",34,"positive","positive","positive","positive"
"2240",39,"positive","positive","positive","positive"
"2241",2,"positive","positive","positive","positive"
"2242",24,"positive","positive","positive","positive"
"2243",53,"negative","positive","positive","positive"
"2244",21,"positive","positive","positive","positive"
"2245",58,"positive","positive","positive","positive"
"2246",66,"positive","positive","positive","positive"
"2247",174,"positive","positive","positive","positive"
"2248",2,"positive","positive","positive","positive"
"2249",7,"negative","positive","positive","positive"
"2250",123,"positive","positive","positive","positive"
"2251",43,"positive","positive","positive","positive"
"2252",50,"positive","positive","positive","positive"
"2253",51,"positive","positive","negative","positive"
"2254",11,"positive","positive","positive","positive"
"2255",24,"positive","positive","negative","positive"
"2256",5,"positive","positive","positive","positive"
"2257",30,"positive","positive","positive","positive"
"2258",45,"positive","positive","positive","positive"
"2259",126,"positive","positive","positive","positive"
"2260",32,"positive","positive","positive","positive"
"2261",129,"positive","positive","positive","positive"
"2262",72,"positive","positive","positive","positive"
"2263",32,"negative","positive","positive","positive"
"2264",37,"negative","positive","positive","positive"
"2265",56,"positive","positive","positive","positive"
"2266",25,"positive","positive","negative","negative"
"2267",61,"positive","positive","positive","positive"
"2268",81,"negative","positive","negative","positive"
"2269",33,"positive","positive","positive","positive"
"2270",18,"negative","positive","positive","positive"
"2271",21,"positive","positive","negative","positive"
"2272",261,"negative","negative","negative","positive"
"2273",7,"positive","positive","positive","positive"
"2274",62,"positive","positive","positive","positive"
"2275",56,"positive","positive","negative","positive"
"2276",57,"positive","positive","negative","positive"
"2277",80,"positive","positive","negative","positive"
"2278",57,"positive","positive","positive","positive"
"2279",32,"positive","positive","positive","positive"
"2280",46,"positive","positive","positive","positive"
"2281",28,"negative","positive","negative","positive"
"2282",57,"positive","positive","positive","positive"
"2283",23,"positive","positive","positive","positive"
"2284",200,"positive","negative","positive","positive"
"2285",4,"positive","positive","positive","positive"
"2286",15,"positive","positive","positive","positive"
"2287",105,"positive","positive","positive","positive"
"2288",22,"positive","positive","negative","positive"
"2289",38,"negative","positive","negative","positive"
"2290",72,"positive","positive","positive","positive"
"2291",72,"positive","positive","positive","positive"
"2292",15,"positive","positive","negative","positive"
"2293",43,"positive","positive","positive","positive"
"2294",76,"positive","positive","negative","positive"
"2295",34,"positive","positive","positive","positive"
"2296",25,"positive","positive","positive","positive"
"2297",18,"positive","positive","positive","positive"
"2298",41,"positive","positive","positive","positive"
"2299",50,"positive","positive","positive","positive"
"2300",68,"positive","positive","positive","positive"
"2301",7,"positive","positive","positive","positive"
"2302",54,"positive","positive","positive","positive"
"2303",57,"positive","positive","positive","positive"
"2304",8,"positive","positive","positive","positive"
"2305",69,"positive","negative","negative","positive"
"2306",92,"positive","positive","positive","positive"
"2307",155,"positive","positive","negative","positive"
"2308",99,"positive","positive","positive","positive"
"2309",110,"negative","positive","negative","positive"
"2310",13,"positive","positive","positive","positive"
"2311",25,"positive","positive","positive","positive"
"2312",434,"positive","positive","positive","positive"
"2313",110,"positive","positive","positive","positive"
"2314",67,"positive","positive","negative","positive"
"2315",23,"positive","positive","negative","positive"
"2316",24,"positive","positive","positive","positive"
"2317",25,"positive","positive","positive","positive"
"2318",62,"positive","positive","positive","positive"
"2319",65,"positive","positive","negative","positive"
"2320",5,"positive","positive","positive","positive"
"2321",47,"positive","positive","positive","positive"
"2322",109,"positive","positive","positive","positive"
"2323",122,"positive","positive","positive","positive"
"2324",118,"positive","positive","positive","positive"
"2325",72,"positive","negative","positive","positive"
"2326",69,"positive","negative","negative","positive"
"2327",31,"negative","positive","positive","positive"
"2328",100,"positive","positive","positive","positive"
"2329",59,"positive","positive","negative","positive"
"2330",89,"positive","positive","positive","positive"
"2331",40,"positive","positive","positive","positive"
"2332",88,"positive","positive","positive","positive"
"2333",49,"positive","positive","positive","positive"
"2334",22,"negative","negative","negative","positive"
"2335",151,"positive","positive","positive","positive"
"2336",44,"positive","positive","positive","positive"
