Date,Open,High,Low,Close,Adj Close,Volume
1/31/2000,1409.280029,1435.910034,1398.52002,1424.369995,1424.369995,3230200000
2/7/2000,1424.369995,1444.550049,1378.890015,1387.119995,1387.119995,5100800000
2/14/2000,1387.119995,1407.719971,1345.319946,1346.089966,1346.089966,5115300000
2/21/2000,1346.089966,1370.109985,1329.150024,1333.359985,1333.359985,4253900000
2/28/2000,1333.359985,1410.880005,1325.069946,1409.170044,1409.170044,5853800000
3/6/2000,1409.170044,1413.459961,1346.619995,1395.069946,1395.069946,5807900000
3/13/2000,1395.069946,1477.329956,1356.98999,1464.469971,1464.469971,6190300000
3/20/2000,1464.469971,1552.869995,1446.060059,1527.459961,1527.459961,5192200000
3/27/2000,1527.459961,1534.630005,1474.630005,1498.579956,1498.579956,5342800000
4/3/2000,1498.579956,1526.449951,1416.410034,1516.349976,1516.349976,5547060000
4/10/2000,1516.349976,1527.189941,1339.400024,1356.560059,1356.560059,5312700000
4/17/2000,1356.560059,1447.689941,1346.5,1434.540039,1434.540039,4211700000
4/24/2000,1434.540039,1482.939941,1407.130005,1452.430054,1452.430054,5035000000
5/1/2000,1452.430054,1481.51001,1398.359985,1432.630005,1432.630005,4700700000
5/8/2000,1432.630005,1432.630005,1375.140015,1420.959961,1420.959961,4502400000
5/15/2000,1420.959961,1470.400024,1401.73999,1406.949951,1406.949951,4292200000
5/22/2000,1406.949951,1411.650024,1361.089966,1378.02002,1378.02002,4598300000
5/29/2000,1378.02002,1483.22998,1378.02002,1477.26001,1477.26001,3927200000
6/5/2000,1477.26001,1477.280029,1454.73999,1456.949951,1456.949951,4283600000
6/12/2000,1456.949951,1483.619995,1442.380005,1464.459961,1464.459961,4901900000
6/19/2000,1464.459961,1488.930054,1438.310059,1441.47998,1441.47998,4833100000
6/26/2000,1441.47998,1467.630005,1434.630005,1454.599976,1454.599976,5597200000
7/3/2000,1454.599976,1484.119995,1439.560059,1478.900024,1478.900024,3350200000
